dim_0,dim_1,epoch,character
0.43715855,0.37006116,0, 
1.581573,-0.15563968,0,e
0.15109134,-1.3494922,0,t
-0.70894444,-0.24338225,0,o
-0.03887383,1.0809844,0,a
0.90879077,0.07887426,0,n
-0.08952116,0.17137258,0,h
-0.15746896,1.9800397,0,i
0.75730693,-0.42737582,0,s
-1.5917616,-0.07361122,0,r
-1.9979472,0.09059091,0,d
0.982176,0.068138056,0,l
-0.099556625,0.80334395,0,u
1.044137,-0.52012765,0,m
0.8058817,1.0866966,0,y
0.25927034,1.8513728,0,w
1.2093186,1.5929683,0,c
0.5640138,-0.67491984,0,f
0.09141378,0.39475566,0,","
1.5457106,-0.3609607,0,g
-0.27226248,0.62785715,0,.
-1.9770651,0.3020163,0,p
-1.0226368,-0.74714863,0,b
-0.5051301,0.463584,0,v
0.07122035,-1.2177619,0,k
1.0489852,-0.98672557,0,I
0.62634057,-1.739613,0,’
-1.1493645,-0.8489328,0,“
0.6009858,-1.5412188,0,”
1.0329226,-0.88129884,0,A
0.3829615,1.4596353,0,T
1.0305423,0.8792528,0,H
0.32856736,-0.07420263,0,?
0.14140484,-1.2538061,0,!
-0.95538443,1.0691961,0,x
1.1713247,-0.24828395,0,S
0.0063628894,0.23263441,0,M
0.95270425,-0.4139321,0,W
1.1716223,1.6208951,0,B
0.7747581,-0.23497157,0,F
-0.27529785,-0.13301833,0,j
0.026622228,0.23825394,0,‐
0.43962663,-1.159601,0,G
0.09952423,1.708459,0,Y
1.8984557,-0.6291782,0,P
-0.21173386,-1.9887606,0,q
0.360546,-1.2416636,0,—
-1.3239378,0.9785103,0,;
-0.72841054,0.37546638,0,K
-0.19037521,0.8099748,0,D
0.92984736,0.18676199,0,O
0.5845764,0.30416635,0,z
1.4423637,1.34799,0,‘
0.97064185,-0.77267474,0,N
-1.0799946,-0.31432408,0,C
-0.73074937,0.44381624,0,L
-0.33503342,-1.1513637,0,_
-0.34511393,-1.8816324,0,R
1.871529,-0.24930508,0,:
0.1050206,-0.7197165,0,E
0.0046193795,-0.21361813,0,V
-0.32706302,-1.445109,0,(
1.6749991,-0.90744305,0,)
-0.4968179,1.0563092,0,Z
1.4613357,-0.07701435,0,J
-1.0376238,0.07800276,0,U
0.06841987,-0.90691733,0,ï
0.75574744,0.72678375,0,ü
-0.95677423,-1.1259103,0,-
0.0,0.0,0,~
0.8555513,1.799554,1, 
1.950232,-0.3312361,1,e
1.1585532,-1.4235781,1,t
-1.8167889,0.7258951,1,o
-0.56023157,0.920604,1,a
0.6459945,-0.13943847,1,n
-1.2116903,-1.0482693,1,h
-0.32578126,1.9723417,1,i
0.9362723,-0.8072371,1,s
-1.0331892,-0.13530567,1,r
-0.1363217,-0.71625185,1,d
-0.42792192,-0.002346372,1,l
-0.77106273,1.4351192,1,u
-0.8218018,-0.62138665,1,m
0.4242728,-1.0059947,1,y
-0.51203537,-0.96744645,1,w
0.2737222,-0.27260906,1,c
0.13821526,-0.37173373,1,f
0.5164854,-1.9321599,1,","
-0.044032924,-0.48492482,1,g
-0.55888873,-1.9163406,1,.
-0.79517806,-0.26116848,1,p
-1.8031646,-0.38631517,1,b
-1.7491095,-0.8218019,1,v
-1.135401,-0.62848514,1,k
1.8823806,0.65802854,1,I
0.9979436,0.11738737,1,’
0.4709115,1.231111,1,“
0.388104,-1.8648297,1,”
1.9928541,0.16891368,1,A
1.2537196,-1.5284487,1,T
-1.6612082,-1.1137266,1,H
-0.45549136,-1.9469681,1,?
-0.29809722,-1.9776597,1,!
0.3842291,-0.25887972,1,x
1.0899075,-0.74946594,1,S
-0.4549469,-0.10317789,1,M
-0.5672857,-0.92965746,1,W
0.7402281,0.45531294,1,B
0.036135353,0.17965579,1,F
-1.002289,-0.30909818,1,j
0.6667744,1.418867,1,‐
-0.86220634,0.35506916,1,G
0.41969705,-0.88757694,1,Y
-0.81410503,-0.18863353,1,P
-1.999475,-0.045820888,1,q
0.93875396,1.6329517,1,—
0.5900693,-1.7391083,1,;
-0.21852392,-0.34053153,1,K
0.09864418,-0.5461875,1,D
-1.6996219,0.8329884,1,O
-1.3431437,-0.46085718,1,z
0.43454015,1.2442427,1,‘
0.71972215,-0.16942066,1,N
0.2836583,0.11955774,1,C
-0.14895448,0.05407012,1,L
1.1979816,-0.67248017,1,_
-0.8644181,-0.020453535,1,R
0.26669014,-1.8447189,1,:
-1.6749855,0.46139854,1,E
-0.29755518,0.44467792,1,V
0.98186076,1.6275839,1,(
0.6948786,-0.8709068,1,)
-0.4920762,-0.040357053,1,Z
1.2195773,-0.25788206,1,J
-0.6743801,1.4168042,1,U
1.8463925,-0.4488122,1,ï
-0.1925639,1.3567172,1,ü
-1.1368906,-0.8478843,1,-
0.0,0.0,1,~
0.7858554,1.7966677,2, 
1.9153957,-0.33111653,2,e
1.1190923,-1.5059973,2,t
-1.8265871,0.70401806,2,o
-0.6480979,0.89041656,2,a
0.600228,-0.10211401,2,n
-1.1321418,-0.970157,2,h
-0.5127758,1.9331478,2,i
0.9794162,-0.75323147,2,s
-0.9830961,-0.118966244,2,r
-0.1703011,-0.6555229,2,d
-0.38565528,-0.027345633,2,l
-0.8676315,1.4058193,2,u
-0.8134373,-0.54348654,2,m
0.3495026,-1.0120627,2,y
-0.49322528,-0.99271494,2,w
0.26391956,-0.23351341,2,c
0.09147577,-0.34772816,2,f
0.57281893,-1.9072407,2,","
-0.05964095,-0.49661973,2,g
-0.52855563,-1.9247386,2,.
-0.84583205,-0.2925354,2,p
-1.8685973,-0.4221539,2,b
-1.780911,-0.88938934,2,v
-1.1419718,-0.65159714,2,k
1.7630332,0.69297636,2,I
0.95493364,0.14807917,2,’
0.53096586,1.258201,2,“
0.42304647,-1.577166,2,”
1.9782833,0.14379139,2,A
1.2249147,-1.5799935,2,T
-1.5528915,-1.1123943,2,H
-0.34531677,-1.9360077,2,?
-0.08266534,-1.9633183,2,!
0.5178335,-0.42096588,2,x
0.9871217,-0.8822117,2,S
-0.61140376,0.15635303,2,M
-0.5844774,-0.99949783,2,W
0.46603692,0.42996532,2,B
0.058191676,0.31343183,2,F
-1.1053838,-0.33616012,2,j
0.6643951,1.4804609,2,‐
-0.9989691,0.41403672,2,G
0.3360324,-1.0610509,2,Y
-0.8350286,-0.33472565,2,P
-1.9893041,-0.011016344,2,q
0.90812397,1.7764063,2,—
0.6413696,-1.8124828,2,;
-0.271454,-0.33897603,2,K
0.07676727,-0.6844349,2,D
-1.6909417,0.92432094,2,O
-1.150707,-0.33010545,2,z
0.52929056,1.2592844,2,‘
0.81968737,-0.26993242,2,N
0.24871297,0.05973786,2,C
-0.15974434,-0.12633036,2,L
1.1616523,-0.5979819,2,_
-1.0424472,0.20321265,2,R
0.11701537,-1.359458,2,:
-1.8717772,0.6371084,2,E
-0.5122616,0.23513095,2,V
0.7609984,1.5671157,2,(
1.1762592,-0.5533221,2,)
-0.63151705,-0.20622689,2,Z
0.3715019,0.2247352,2,J
-1.0797209,1.5847408,2,U
1.8968011,-0.46473405,2,ï
0.059928183,1.0420938,2,ü
-0.94137245,-0.95084184,2,-
0.0,0.0,2,~
0.7622701,1.7996294,3, 
1.9460756,-0.302704,3,e
1.170602,-1.4331695,3,t
-1.873854,0.6990496,3,o
-0.63799644,0.84881914,3,a
0.61636156,-0.10394101,3,n
-1.1584768,-1.0413625,3,h
-0.5546932,1.8924298,3,i
0.9396511,-0.67846,3,s
-1.0603619,-0.108490564,3,r
-0.17611174,-0.6379118,3,d
-0.35614714,0.01169578,3,l
-0.9232023,1.4104656,3,u
-0.84130317,-0.5715116,3,m
0.37725148,-1.020881,3,y
-0.51654345,-0.9802653,3,w
0.28642905,-0.22402997,3,c
0.10711279,-0.26732993,3,f
0.6539065,-1.8900809,3,","
-0.04196891,-0.49337426,3,g
-0.42648014,-1.95246,3,.
-0.8147463,-0.27057287,3,p
-1.8289871,-0.44130337,3,b
-1.7070569,-0.82049733,3,v
-1.1576309,-0.670377,3,k
1.7287881,0.8192073,3,I
0.81912595,0.16730352,3,’
0.53670675,1.3252338,3,“
0.4510415,-1.5407466,3,”
1.9527309,0.31281745,3,A
1.2937721,-1.5251731,3,T
